Name,Chamber,Party,District,Total,Dems,Repubs,Comcast Corp,AT&T Inc,Verizon Communications,March 2017 Vote on Internet Privacy
"Schiff, Adam",House,D,CA28,"$136,574 ","$136,574 ",$0 ,"$38,603 ","$59,956 ","$38,015 ",Nay
"McCaul, Michael",House,R,TX10,"$136,000 ",$0 ,"$136,000 ","$12,000 ","$94,500 ","$29,500 ",Yea
"Tester, Jon",Senate,D,MTS1,"$135,912 ","$135,912 ",$0 ,"$83,750 ","$28,700 ","$23,462 ",Nay
"Levin, Sander",House,D,MI09,"$135,500 ","$135,500 ",$0 ,"$81,400 ","$38,600 ","$15,500 ",Nay
"Sanchez, Linda",House,D,CA38,"$134,500 ","$134,500 ",$0 ,"$76,000 ","$41,500 ","$17,000 ",Nay
"Cuellar, Henry",House,D,TX28,"$133,800 ","$133,800 ",$0 ,"$15,500 ","$80,800 ","$37,500 ",Nay
"Guthrie, Brett",House,R,KY02,"$133,000 ",$0 ,"$133,000 ","$33,500 ","$65,000 ","$34,500 ",Yea
"Scott, Tim",Senate,R,SCS1,"$132,999 ",$0 ,"$132,999 ","$68,650 ","$22,500 ","$41,849 ",Yea
"Matsui, Doris O",House,D,CA06,"$132,250 ","$132,250 ",$0 ,"$36,000 ","$47,500 ","$48,750 ",Nay
"DeGette, Diana",House,D,CO01,"$131,575 ","$131,575 ",$0 ,"$52,000 ","$64,075 ","$15,500 ",Nay
"Chabot, Steve",House,R,OH01,"$131,250 ",$0 ,"$131,250 ","$28,000 ","$70,000 ","$33,250 ",Yea
"Lujan, Ben R",House,D,NM03,"$130,500 ","$130,500 ",$0 ,"$54,000 ","$44,000 ","$32,500 ",Nay
"Manchin, Joe",Senate,D,WVS1,"$128,500 ","$128,500 ",$0 ,"$52,700 ","$41,000 ","$34,800 ",Nay
"Whitehouse, Sheldon",Senate,D,RIS1,"$128,157 ","$128,157 ",$0 ,"$88,931 ","$18,776 ","$20,450 ",Nay
"Thompson, Mike",House,D,CA05,"$127,570 ","$127,570 ",$0 ,"$38,000 ","$63,070 ","$26,500 ",Nay
"Diaz-Balart, Mario",House,R,FL25,"$127,050 ",$0 ,"$127,050 ","$34,750 ","$69,300 ","$23,000 ",Yea
"Frelinghuysen, Rodney",House,R,NJ11,"$126,400 ",$0 ,"$126,400 ","$7,000 ","$60,350 ","$59,050 ",Yea
"Boozman, John",Senate,R,ARS2,"$124,250 ",$0 ,"$124,250 ","$13,500 ","$91,750 ","$19,000 ",Yea
"Coons, Chris",Senate,D,DES2,"$123,502 ","$123,502 ",$0 ,"$99,500 ","$10,502 ","$13,500 ",Nay
"Granger, Kay",House,R,TX12,"$122,950 ",$0 ,"$122,950 ","$14,300 ","$89,150 ","$19,500 ",Yea
"Ros-Lehtinen, Ileana",House,R,FL27,"$122,110 ",$0 ,"$122,110 ","$33,250 ","$67,360 ","$21,500 ",Not Voting
"Corker, Bob",Senate,R,TNS1,"$122,100 ",$0 ,"$122,100 ","$41,000 ","$66,300 ","$14,800 ",Yea
"McNerney, Jerry",House,D,CA09,"$121,900 ","$121,900 ",$0 ,"$36,500 ","$63,900 ","$21,500 ",Nay
"Lee, Mike",Senate,R,UTS2,"$121,350 ",$0 ,"$121,350 ","$51,100 ","$50,000 ","$20,250 ",Yea
"Murphy, Christopher S",Senate,D,CTS1,"$120,789 ","$120,789 ",$0 ,"$71,376 ","$34,082 ","$15,331 ",Nay
"Kaine, Tim",Senate,D,VAS1,"$120,627 ","$120,627 ",$0 ,"$47,683 ","$14,236 ","$58,708 ",Nay
"Sires, Albio",House,D,NJ08,"$120,443 ","$120,443 ",$0 ,"$34,000 ","$46,000 ","$40,443 ",Nay
"Schatz, Brian",Senate,D,HIS1,"$119,400 ","$119,400 ",$0 ,"$64,900 ","$26,000 ","$28,500 ",Nay
"Schrader, Kurt",House,D,OR05,"$118,750 ","$118,750 ",$0 ,"$52,250 ","$38,500 ","$28,000 ",Nay
"Murkowski, Lisa",Senate,R,AKS2,"$116,300 ",$0 ,"$116,300 ","$42,250 ","$50,550 ","$23,500 ",Yea
"Costa, Jim",House,D,CA16,"$116,250 ","$116,250 ",$0 ,"$24,500 ","$66,250 ","$25,500 ",Nay
"King, Pete",House,R,NY02,"$115,750 ",$0 ,"$115,750 ","$7,000 ","$54,000 ","$54,750 ",Yea
"Eshoo, Anna",House,D,CA18,"$115,506 ","$115,506 ",$0 ,"$35,500 ","$50,006 ","$30,000 ",Nay
"Capito, Shelley Moore",Senate,R,WVS2,"$115,250 ",$0 ,"$115,250 ","$24,500 ","$37,500 ","$53,250 ",Yea
"Booker, Cory",Senate,D,NJS2,"$114,633 ","$114,633 ",$0 ,"$61,755 ","$7,710 ","$45,168 ",Nay
"Udall, Tom",Senate,D,NMS2,"$114,607 ","$114,607 ",$0 ,"$78,605 ","$22,500 ","$13,502 ",Nay
"Denham, Jeff",House,R,CA10,"$114,000 ",$0 ,"$114,000 ","$38,500 ","$60,500 ","$15,000 ",Yea
"Jackson Lee, Sheila",House,D,TX18,"$113,350 ","$113,350 ",$0 ,"$10,000 ","$77,850 ","$25,500 ",Nay
"Harper, Gregg",House,R,MS03,"$113,250 ",$0 ,"$113,250 ","$29,000 ","$71,250 ","$13,000 ",Yea
"Cole, Tom",House,R,OK04,"$112,750 ",$0 ,"$112,750 ","$3,250 ","$79,250 ","$30,250 ",Yea
"Gardner, Cory",Senate,R,COS2,"$112,550 ",$0 ,"$112,550 ","$35,850 ","$47,000 ","$29,700 ",Yea
"Bilirakis, Gus",House,R,FL12,"$111,800 ",$0 ,"$111,800 ","$20,500 ","$61,250 ","$30,050 ",Yea
"Sherman, Brad",House,D,CA30,"$110,970 ","$110,970 ",$0 ,"$43,420 ","$55,800 ","$11,750 ",Nay
"Enzi, Mike",Senate,R,WYS2,"$110,950 ",$0 ,"$110,950 ","$24,200 ","$60,750 ","$26,000 ",Yea
"Crapo, Mike",Senate,R,IDS2,"$110,750 ",$0 ,"$110,750 ","$23,500 ","$46,250 ","$41,000 ",Yea
"Donnelly, Joe",Senate,D,INS1,"$110,494 ","$110,494 ",$0 ,"$69,954 ","$29,530 ","$11,010 ",Nay
"Cardin, Ben",Senate,D,MDS1,"$109,223 ","$109,223 ",$0 ,"$54,323 ","$21,000 ","$33,900 ",Nay
"Klobuchar, Amy",Senate,D,MNS2,"$107,116 ","$107,116 ",$0 ,"$90,266 ","$7,750 ","$9,100 ",Nay
"Clarke, Yvette D",House,D,NY09,"$106,600 ","$106,600 ",$0 ,"$30,500 ","$52,500 ","$23,600 ",Nay
"Olson, Pete",House,R,TX22,"$104,500 ",$0 ,"$104,500 ","$28,000 ","$48,000 ","$28,500 ",Yea
"Johnson, Sam",House,R,TX03,"$103,573 ",$0 ,"$103,573 ","$14,000 ","$56,073 ","$33,500 ",Yea
"Reichert, Dave",House,R,WA08,"$103,250 ",$0 ,"$103,250 ","$26,500 ","$53,700 ","$23,050 ",Nay
"Rogers, Hal",House,R,KY05,"$102,500 ",$0 ,"$102,500 ","$2,000 ","$59,500 ","$41,000 ",Yea
"Davis, Danny K",House,D,IL07,"$101,500 ","$101,500 ",$0 ,"$5,000 ","$78,000 ","$18,500 ",Nay
"Lewis, John",House,D,GA05,"$100,781 ","$100,781 ",$0 ,"$44,411 ","$43,054 ","$13,316 ",Nay
"Flake, Jeff",Senate,R,AZS2,"$100,200 ",$0 ,"$100,200 ","$24,450 ","$38,750 ","$37,000 ",Yea
"Welch, Peter",House,D,VT01,"$99,954 ","$99,954 ",$0 ,"$38,704 ","$34,000 ","$27,250 ",Nay
"Peters, Gary",Senate,D,MIS1,"$98,505 ","$98,505 ",$0 ,"$43,750 ","$38,255 ","$16,500 ",Nay
"Scott, David",House,D,GA13,"$98,400 ","$98,400 ",$0 ,"$11,000 ","$70,400 ","$17,000 ",Nay
"Gutierrez, Luis V",House,D,IL04,"$98,100 ","$98,100 ",$0 ,"$15,500 ","$71,100 ","$11,500 ",Nay
"Johnson, Eddie Bernice",House,D,TX30,"$98,000 ","$98,000 ",$0 ,"$11,000 ","$68,000 ","$19,000 ",Nay
"Marchant, Kenny",House,R,TX24,"$97,000 ",$0 ,"$97,000 ","$11,250 ","$60,500 ","$25,250 ",Yea
"Connolly, Gerry",House,D,VA11,"$96,286 ","$96,286 ",$0 ,"$35,584 ","$43,075 ","$17,627 ",Nay
"Stivers, Steve",House,R,OH15,"$96,251 ",$0 ,"$96,251 ","$30,751 ","$35,500 ","$30,000 ",Yea
"Costello, Ryan",House,R,PA06,"$95,450 ",$0 ,"$95,450 ","$60,450 ","$20,500 ","$14,500 ",Yea
"Barrasso, John A",Senate,R,WYS1,"$95,300 ",$0 ,"$95,300 ","$37,300 ","$28,000 ","$30,000 ",Yea
"Long, Billy",House,R,MO07,"$94,000 ",$0 ,"$94,000 ","$19,000 ","$53,500 ","$21,500 ",Yea
"Cummings, Elijah E",House,D,MD07,"$93,850 ","$93,850 ",$0 ,"$22,250 ","$39,000 ","$32,600 ",Nay
"Clay, William L Jr",House,D,MO01,"$93,250 ","$93,250 ",$0 ,"$5,000 ","$65,250 ","$23,000 ",Nay
"Hunter, Duncan D",House,R,CA50,"$92,750 ",$0 ,"$92,750 ","$12,500 ","$64,250 ","$16,000 ",Yea
"Jenkins, Lynn",House,R,KS02,"$92,750 ",$0 ,"$92,750 ","$17,000 ","$54,250 ","$21,500 ",Yea
"Perlmutter, Ed",House,D,CO07,"$92,510 ","$92,510 ",$0 ,"$55,510 ","$29,000 ","$8,000 ",Nay
"Reed, Jack",Senate,D,RIS2,"$92,363 ","$92,363 ",$0 ,"$20,500 ","$45,207 ","$26,656 ",Nay
"Culberson, John",House,R,TX07,"$92,000 ",$0 ,"$92,000 ","$10,000 ","$67,500 ","$14,500 ",Yea
"Royce, Ed",House,R,CA39,"$91,550 ",$0 ,"$91,550 ","$4,000 ","$67,000 ","$20,550 ",Yea
"Larsen, Rick",House,D,WA02,"$91,250 ","$91,250 ",$0 ,"$21,500 ","$44,250 ","$25,500 ",Nay
"Himes, Jim",House,D,CT04,"$91,100 ","$91,100 ",$0 ,"$45,350 ","$34,500 ","$11,250 ",Nay
"Inhofe, James M",Senate,R,OKS2,"$90,750 ",$0 ,"$90,750 ","$15,000 ","$69,750 ","$6,000 ",Yea
"Wagner, Ann L",House,R,MO02,"$90,500 ",$0 ,"$90,500 ","$37,000 ","$29,000 ","$24,500 ",Nay
