Name,Chamber,Party,District,Total,Dems,Repubs,Comcast Corp,AT&T Inc,Verizon Communications,March 2017 Vote on Internet Privacy
"Young, Todd",Senate,R,INS2,"$56,900 ",$0 ,"$56,900 ","$16,750 ","$29,650 ","$10,500 ",Yea
"Carson, Andre",House,D,IN07,"$56,750 ","$56,750 ",$0 ,"$13,500 ","$28,500 ","$14,750 ",Nay
"Veasey, Marc",House,D,TX33,"$56,250 ","$56,250 ",$0 ,"$16,750 ","$23,000 ","$16,500 ",Nay
"Roby, Martha",House,R,AL02,"$55,750 ",$0 ,"$55,750 ","$23,500 ","$22,250 ","$10,000 ",Yea
"Daines, Steven",Senate,R,MTS2,"$55,500 ",$0 ,"$55,500 ","$21,000 ","$22,000 ","$12,500 ",Yea
"Cramer, Kevin",House,R,ND01,"$55,500 ",$0 ,"$55,500 ","$6,000 ","$30,500 ","$19,000 ",Yea
"Maloney, Sean Patrick",House,D,NY18,"$55,130 ","$55,130 ",$0 ,"$23,250 ","$13,175 ","$18,705 ",Nay
"Barletta, Lou",House,R,PA11,"$54,700 ",$0 ,"$54,700 ","$30,500 ","$10,500 ","$13,700 ",Yea
"Merkley, Jeff",Senate,D,ORS1,"$54,373 ","$54,373 ",$0 ,"$38,293 ","$10,550 ","$5,530 ",Nay
"Garamendi, John",House,D,CA03,"$54,250 ","$54,250 ",$0 ,"$11,250 ","$26,000 ","$17,000 ",Nay
"Gottheimer, Josh",House,D,NJ05,"$53,803 ","$53,803 ",$0 ,"$29,520 ","$14,255 ","$10,028 ",Nay
"McClintock, Tom",House,R,CA04,"$53,750 ",$0 ,"$53,750 ","$11,500 ","$38,750 ","$3,500 ",Nay
"Rokita, Todd",House,R,IN04,"$53,500 ",$0 ,"$53,500 ","$12,500 ","$30,000 ","$11,000 ",Yea
"Chu, Judy",House,D,CA27,"$53,400 ","$53,400 ",$0 ,"$21,500 ","$27,650 ","$4,250 ",Nay
"Renacci, Jim",House,R,OH16,"$53,000 ",$0 ,"$53,000 ","$12,000 ","$24,000 ","$17,000 ",Yea
"Wittman, Rob",House,R,VA01,"$52,500 ",$0 ,"$52,500 ","$21,000 ","$21,000 ","$10,500 ",Yea
"Foster, Bill",House,D,IL11,"$52,450 ","$52,450 ",$0 ,"$17,250 ","$29,200 ","$6,000 ",Nay
"Perdue, David",Senate,R,GAS1,"$52,200 ",$0 ,"$52,200 ","$20,600 ","$26,600 ","$5,000 ",Yea
"Noem, Kristi",House,R,SD01,"$50,500 ",$0 ,"$50,500 ","$12,000 ","$21,000 ","$17,500 ",Yea
"Hoeven, John",Senate,R,NDS1,"$50,250 ",$0 ,"$50,250 ","$15,000 ","$19,250 ","$16,000 ",Yea
"Cooper, Jim",House,D,TN05,"$50,050 ","$50,050 ",$0 ,"$8,500 ","$37,550 ","$4,000 ",Nay
"Boyle, Brendan",House,D,PA13,"$49,700 ","$49,700 ",$0 ,"$30,700 ","$7,000 ","$12,000 ",Nay
"Franken, Al",Senate,D,MNS1,"$49,611 ","$49,611 ",$0 ,"$35,940 ","$10,659 ","$3,012 ",Nay
"Jeffries, Hakeem",House,D,NY08,"$49,400 ","$49,400 ",$0 ,"$18,750 ","$17,750 ","$12,900 ",Nay
"Young, David",House,R,IA03,"$49,050 ",$0 ,"$49,050 ","$20,500 ","$5,000 ","$23,550 ",Yea
"Cartwright, Matt",House,D,PA17,"$49,000 ","$49,000 ",$0 ,"$41,500 ","$6,500 ","$1,000 ",Nay
"Hultgren, Randy",House,R,IL14,"$48,300 ",$0 ,"$48,300 ","$14,250 ","$28,850 ","$5,200 ",Yea
"Cassidy, Bill",Senate,R,LAS1,"$48,200 ",$0 ,"$48,200 ","$11,000 ","$31,200 ","$6,000 ",Yea
"Vela, Filemon",House,D,TX34,"$48,200 ","$48,200 ",$0 ,"$13,700 ","$18,500 ","$16,000 ",Nay
"Tillis, Thom",Senate,R,NCS1,"$48,100 ",$0 ,"$48,100 ","$21,000 ","$16,350 ","$10,750 ",Yea
"Lipinski, Daniel",House,D,IL03,"$48,000 ","$48,000 ",$0 ,"$4,500 ","$43,500 ",$0 ,Nay
"Kennedy, Joe III",House,D,MA04,"$46,870 ","$46,870 ",$0 ,"$24,655 ","$13,550 ","$8,665 ",Nay
"Crist, Charlie",House,D,FL13,"$46,800 ","$46,800 ",$0 ,"$17,700 ","$27,100 ","$2,000 ",Nay
"Ruiz, Raul",House,D,CA36,"$46,485 ","$46,485 ",$0 ,"$14,225 ","$19,760 ","$12,500 ",Nay
"Cicilline, David",House,D,RI01,"$46,460 ","$46,460 ",$0 ,"$17,950 ","$17,750 ","$10,760 ",Nay
"Stefanik, Elise",House,R,NY21,"$45,750 ",$0 ,"$45,750 ","$20,750 ","$17,500 ","$7,500 ",Nay
"Curbelo, Carlos",House,R,FL26,"$45,700 ",$0 ,"$45,700 ","$19,700 ","$18,000 ","$8,000 ",Yea
"Vargas, Juan",House,D,CA51,"$45,700 ","$45,700 ",$0 ,"$11,000 ","$22,700 ","$12,000 ",Nay
"Velazquez, Nydia M",House,D,NY07,"$45,507 ","$45,507 ",$0 ,"$21,000 ","$9,257 ","$15,250 ",Nay
"Beutler, Jaime Herrera",House,R,WA03,"$45,500 ",$0 ,"$45,500 ","$21,500 ","$18,000 ","$6,000 ",Nay
"Bucshon, Larry",House,R,IN08,"$45,500 ",$0 ,"$45,500 ","$8,000 ","$30,500 ","$7,000 ",Yea
"Titus, Dina",House,D,NV01,"$45,500 ","$45,500 ",$0 ,"$12,750 ","$29,500 ","$3,250 ",Nay
"Heck, Dennis",House,D,WA10,"$45,250 ","$45,250 ",$0 ,"$12,750 ","$17,500 ","$15,000 ",Nay
"Payne, Donald M Jr",House,D,NJ10,"$45,250 ","$45,250 ",$0 ,"$11,000 ","$18,250 ","$16,000 ",Nay
"Roybal-Allard, Lucille",House,D,CA40,"$45,150 ","$45,150 ",$0 ,"$13,000 ","$32,150 ",$0 ,Nay
"Esty, Elizabeth",House,D,CT05,"$45,100 ","$45,100 ",$0 ,"$17,600 ","$13,500 ","$14,000 ",Nay
"Perry, Scott",House,R,PA04,"$45,000 ",$0 ,"$45,000 ","$20,500 ","$14,500 ","$10,000 ",Yea
"Rothfus, Keith J",House,R,PA12,"$44,950 ",$0 ,"$44,950 ","$30,450 ","$5,500 ","$9,000 ",Yea
"Bustos, Cheri",House,D,IL17,"$44,874 ","$44,874 ",$0 ,"$19,865 ","$14,009 ","$11,000 ",Nay
"Wilson, Frederica",House,D,FL24,"$44,500 ","$44,500 ",$0 ,"$12,000 ","$27,000 ","$5,500 ",Nay
"Bera, Ami",House,D,CA07,"$44,223 ","$44,223 ",$0 ,"$23,013 ","$11,410 ","$9,800 ",Nay
"Castro, Joaquin",House,D,TX20,"$44,200 ","$44,200 ",$0 ,"$12,000 ","$20,700 ","$11,500 ",Nay
"Evans, Dwight",House,D,PA02,"$43,900 ","$43,900 ",$0 ,"$34,900 ","$3,000 ","$6,000 ",Nay
"Beyer, Don",House,D,VA08,"$43,750 ","$43,750 ",$0 ,"$26,750 ","$5,500 ","$11,500 ",Nay
"Rice, Kathleen",House,D,NY04,"$43,151 ","$43,151 ",$0 ,"$19,950 ","$7,001 ","$16,200 ",Nay
"Dingell, Debbie",House,D,MI12,"$43,116 ","$43,116 ",$0 ,"$15,000 ","$19,366 ","$8,750 ",Nay
"Higgins, Brian M",House,D,NY26,"$43,100 ","$43,100 ",$0 ,$0 ,"$28,000 ","$15,100 ",Nay
"Luetkemeyer, Blaine",House,R,MO03,"$43,000 ",$0 ,"$43,000 ","$10,000 ","$29,000 ","$4,000 ",Yea
"Turner, Michael R",House,R,OH10,"$43,000 ",$0 ,"$43,000 ","$4,000 ","$37,500 ","$1,500 ",Yea
"Norcross, Don",House,D,NJ01,"$42,950 ","$42,950 ",$0 ,"$19,700 ","$8,500 ","$14,750 ",Nay
"Aguilar, Pete",House,D,CA31,"$42,545 ","$42,545 ",$0 ,"$15,536 ","$17,008 ","$10,001 ",Nay
"Capuano, Michael E",House,D,MA07,"$42,100 ","$42,100 ",$0 ,"$13,500 ","$1,000 ","$27,600 ",Nay
"Duckworth, Tammy",Senate,D,ILS2,"$42,088 ","$42,088 ",$0 ,"$21,293 ","$8,661 ","$12,134 ",Nay
"DeSantis, Ron",House,R,FL06,"$41,626 ",$0 ,"$41,626 ","$13,000 ","$19,601 ","$9,025 ",Yea
"Amodei, Mark",House,R,NV02,"$41,500 ",$0 ,"$41,500 ","$9,000 ","$29,500 ","$3,000 ",Yea
"Franks, Trent",House,R,AZ08,"$41,500 ",$0 ,"$41,500 ","$15,000 ","$23,500 ","$3,000 ",Yea
"McSally, Martha",House,R,AZ02,"$41,500 ",$0 ,"$41,500 ","$22,500 ","$11,000 ","$8,000 ",Yea
"Scott, Bobby",House,D,VA03,"$41,250 ","$41,250 ",$0 ,"$11,000 ","$15,200 ","$15,050 ",Nay
"Blumenthal, Richard",Senate,D,CTS2,"$41,035 ","$41,035 ",$0 ,"$27,505 ","$9,005 ","$4,525 ",Nay
"Bishop, Mike",House,R,MI08,"$41,000 ",$0 ,"$41,000 ","$14,000 ","$14,500 ","$12,500 ",Yea
"McKinley, David",House,R,WV01,"$41,000 ",$0 ,"$41,000 ","$20,000 ","$17,000 ","$4,000 ",Yea
"DelBene, Suzan",House,D,WA01,"$40,816 ","$40,816 ",$0 ,"$20,300 ","$9,016 ","$11,500 ",Nay
"Collins, Doug",House,R,GA09,"$40,750 ",$0 ,"$40,750 ","$21,000 ","$17,750 ","$2,000 ",Yea
"Gowdy, Trey",House,R,SC04,"$40,750 ",$0 ,"$40,750 ","$14,000 ","$20,750 ","$6,000 ",Yea
"Lankford, James",Senate,R,OKS1,"$40,450 ",$0 ,"$40,450 ","$17,000 ","$19,450 ","$4,000 ",Yea
"Hurd, Will",House,R,TX23,"$40,250 ",$0 ,"$40,250 ","$19,000 ","$17,250 ","$4,000 ",Yea
"Yoder, Kevin",House,R,KS03,"$40,250 ",$0 ,"$40,250 ","$14,250 ","$20,000 ","$6,000 ",Nay
"Kelly, Robin",House,D,IL02,"$39,900 ","$39,900 ",$0 ,"$11,000 ","$20,900 ","$8,000 ",Nay
"Schneider, Brad",House,D,IL10,"$39,004 ","$39,004 ",$0 ,"$12,608 ","$22,302 ","$4,094 ",Nay
"Lieu, Ted",House,D,CA33,"$38,900 ","$38,900 ",$0 ,"$13,250 ","$16,150 ","$9,500 ",Nay
"Peterson, Collin",House,D,MN07,"$38,850 ","$38,850 ",$0 ,"$3,500 ","$33,850 ","$1,500 ",Nay
"Posey, Bill",House,R,FL08,"$38,750 ",$0 ,"$38,750 ","$17,250 ","$12,500 ","$9,000 ",Yea
"Byrne, Bradley",House,R,AL01,"$38,500 ",$0 ,"$38,500 ","$17,500 ","$17,500 ","$3,500 ",Yea
"Gibbs, Bob",House,R,OH07,"$38,000 ",$0 ,"$38,000 ","$13,000 ","$20,000 ","$5,000 ",Yea
"Kuster, Ann Mclane",House,D,NH02,"$36,751 ","$36,751 ",$0 ,"$11,500 ","$12,751 ","$12,500 ",Yea
"Duncan, Jeff",House,R,SC03,"$36,330 ",$0 ,"$36,330 ","$13,000 ","$16,330 ","$7,000 ",Yea
"Woodall, Rob",House,R,GA07,"$36,250 ",$0 ,"$36,250 ","$10,500 ","$15,000 ","$10,750 ",Yea
"Brownley, Julia",House,D,CA26,"$36,111 ","$36,111 ",$0 ,"$7,710 ","$22,401 ","$6,000 ",Nay
"Farenthold, Blake",House,R,TX27,"$36,000 ",$0 ,"$36,000 ","$13,000 ","$22,000 ","$1,000 ",Yea
"Pearce, Steve",House,R,NM02,"$35,850 ",$0 ,"$35,850 ","$13,600 ","$14,250 ","$8,000 ",Yea
"Fleischmann, Chuck",House,R,TN03,"$35,500 ",$0 ,"$35,500 ","$11,000 ","$24,000 ",$500 ,Yea
"Rice, Tom",House,R,SC07,"$35,500 ",$0 ,"$35,500 ","$11,500 ","$16,000 ","$8,000 ",Yea
"Slaughter, Louise M",House,D,NY25,"$35,250 ","$35,250 ",$0 ,"$4,500 ","$28,750 ","$2,000 ",Not Voting
"Walker, Mark",House,R,NC06,"$35,250 ",$0 ,"$35,250 ","$8,500 ","$26,750 ",$0 ,Yea
"Gallego, Ruben",House,D,AZ07,"$35,050 ","$35,050 ",$0 ,"$10,500 ","$15,550 ","$9,000 ",Nay
"Huizenga, Bill",House,R,MI02,"$35,000 ",$0 ,"$35,000 ","$9,000 ","$22,000 ","$4,000 ",Yea
"Young, Don",House,R,AK01,"$34,450 ",$0 ,"$34,450 ",$0 ,"$32,450 ","$2,000 ",Yea
"Maloney, Carolyn B",House,D,NY12,"$34,250 ","$34,250 ",$0 ,"$5,500 ","$14,500 ","$14,250 ",Nay
"Barr, Andy",House,R,KY06,"$33,850 ",$0 ,"$33,850 ","$6,600 ","$18,250 ","$9,000 ",Yea
"Doggett, Lloyd",House,D,TX35,"$33,780 ","$33,780 ",$0 ,$0 ,"$30,780 ","$3,000 ",Nay
"Duncan, John J Jr",House,R,TN02,"$33,500 ",$0 ,"$33,500 ","$1,500 ","$26,000 ","$6,000 ",Nay
"Torres, Norma",House,D,CA35,"$33,500 ","$33,500 ",$0 ,"$7,000 ","$14,500 ","$12,000 ",Nay
"Webster, Daniel",House,R,FL11,"$33,291 ",$0 ,"$33,291 ","$11,791 ","$10,500 ","$11,000 ",Yea
"Strange, Luther",Senate,R,ALS1,"$33,250 ",$0 ,"$33,250 ","$18,500 ","$5,250 ","$9,500 ",Yea
"Swalwell, Eric",House,D,CA15,"$33,097 ","$33,097 ",$0 ,"$11,041 ","$13,556 ","$8,500 ",Nay
"Lowenthal, Alan",House,D,CA47,"$32,950 ","$32,950 ",$0 ,"$5,450 ","$14,500 ","$13,000 ",Nay
"Ratcliffe, John Lee",House,R,TX04,"$32,950 ",$0 ,"$32,950 ","$10,500 ","$13,450 ","$9,000 ",Yea
"Cotton, Tom",Senate,R,ARS1,"$32,500 ",$0 ,"$32,500 ","$8,750 ","$16,500 ","$7,250 ",Yea
"Joyce, David P",House,R,OH14,"$32,500 ",$0 ,"$32,500 ","$13,000 ","$9,500 ","$10,000 ",Yea
"Price, David",House,D,NC04,"$32,043 ","$32,043 ",$0 ,$0 ,"$21,043 ","$11,000 ",Nay
"Knight, Steve",House,R,CA25,"$32,000 ",$0 ,"$32,000 ","$11,000 ","$17,000 ","$4,000 ",Yea
"Womack, Steve",House,R,AR03,"$31,500 ",$0 ,"$31,500 ","$2,000 ","$24,500 ","$5,000 ",Yea
"Tipton, Scott",House,R,CO03,"$31,450 ",$0 ,"$31,450 ","$12,750 ","$17,500 ","$1,200 ",Yea
"Warren, Elizabeth",Senate,D,MAS1,"$31,042 ","$31,042 ",$0 ,"$20,183 ","$4,379 ","$6,480 ",Nay
"Lee, Barbara",House,D,CA13,"$31,025 ","$31,025 ",$0 ,"$12,250 ","$12,270 ","$6,505 ",Nay
"Loebsack, David",House,D,IA02,"$31,025 ","$31,025 ",$0 ,"$7,000 ","$20,500 ","$3,525 ",Nay
"Risch, James E",Senate,R,IDS1,"$31,000 ",$0 ,"$31,000 ","$10,000 ","$11,000 ","$10,000 ",Yea
"Serrano, Jose E",House,D,NY15,"$30,800 ","$30,800 ",$0 ,"$2,000 ","$11,300 ","$17,500 ",Nay
"Simpson, Mike",House,R,ID02,"$30,500 ",$0 ,"$30,500 ","$1,000 ","$18,500 ","$11,000 ",Not Voting
"Schakowsky, Jan",House,D,IL09,"$30,156 ","$30,156 ",$0 ,"$17,600 ","$10,551 ","$2,005 ",Nay
"Meng, Grace",House,D,NY06,"$30,001 ","$30,001 ",$0 ,"$8,500 ","$12,001 ","$9,500 ",Nay
"Lynch, Stephen F",House,D,MA08,"$29,700 ","$29,700 ",$0 ,"$6,250 ",$250 ,"$23,200 ",Nay
"Masto, Catherine Cortez",Senate,D,NVS2,"$29,353 ","$29,353 ",$0 ,"$21,569 ","$4,426 ","$3,358 ",Nay
"Frankel, Lois J",House,D,FL21,"$29,205 ","$29,205 ",$0 ,"$10,500 ","$14,500 ","$4,205 ",Nay
"Hassan, Maggie",Senate,D,NHS1,"$29,014 ","$29,014 ",$0 ,"$13,388 ","$6,258 ","$9,368 ",Nay
"Beatty, Joyce",House,D,OH03,"$29,000 ","$29,000 ",$0 ,"$6,000 ","$15,000 ","$8,000 ",Nay
"Blumenauer, Earl",House,D,OR03,"$29,000 ","$29,000 ",$0 ,"$23,500 ","$1,000 ","$4,500 ",Nay
"Poliquin, Bruce",House,R,ME02,"$29,000 ",$0 ,"$29,000 ","$10,500 ","$10,000 ","$8,500 ",Yea
"Fortenberry, Jeff",House,R,NE01,"$28,700 ",$0 ,"$28,700 ","$1,000 ","$21,700 ","$6,000 ",Yea
"Ryan, Tim",House,D,OH13,"$28,525 ","$28,525 ",$0 ,"$6,000 ","$19,510 ","$3,015 ",Nay
"Sullivan, Dan",Senate,R,AKS1,"$28,500 ",$0 ,"$28,500 ","$10,000 ","$13,000 ","$5,500 ",Yea
"Emmer, Tom",House,R,MN06,"$28,500 ",$0 ,"$28,500 ","$9,500 ","$15,500 ","$3,500 ",Yea
"Waters, Maxine",House,D,CA43,"$28,245 ","$28,245 ",$0 ,"$16,200 ","$7,295 ","$4,750 ",Nay
"Lamborn, Douglas L",House,R,CO05,"$28,200 ",$0 ,"$28,200 ","$11,000 ","$15,200 ","$2,000 ",Yea
"Delaney, John K",House,D,MD06,"$28,000 ","$28,000 ",$0 ,"$15,000 ","$8,000 ","$5,000 ",Nay
"Keating, Bill",House,D,MA09,"$28,000 ","$28,000 ",$0 ,"$10,000 ","$9,000 ","$9,000 ",Nay
"Katko, John",House,R,NY24,"$27,750 ",$0 ,"$27,750 ","$12,000 ","$12,750 ","$3,000 ",Yea
"Zeldin, Lee",House,R,NY01,"$27,000 ",$0 ,"$27,000 ","$13,500 ","$7,500 ","$6,000 ",Nay
"Moore, Gwen",House,D,WI04,"$26,500 ","$26,500 ",$0 ,"$16,000 ","$10,500 ",$0 ,Nay
"Kildee, Dan",House,D,MI05,"$26,355 ","$26,355 ",$0 ,"$8,005 ","$12,350 ","$6,000 ",Nay
"Labrador, Raul",House,R,ID01,"$26,000 ",$0 ,"$26,000 ","$5,000 ","$21,000 ",$0 ,Yea
"Crawford, Rick",House,R,AR01,"$25,750 ",$0 ,"$25,750 ","$6,000 ","$16,750 ","$3,000 ",Yea
"Grijalva, Raul M",House,D,AZ03,"$25,501 ","$25,501 ",$0 ,"$8,001 ","$14,500 ","$3,000 ",Nay
"MacArthur, Thomas",House,R,NJ03,"$25,500 ",$0 ,"$25,500 ","$10,000 ","$10,000 ","$5,500 ",Yea
"Rohrabacher, Dana",House,R,CA48,"$25,050 ",$0 ,"$25,050 ",$400 ,"$24,650 ",$0 ,Yea
"Brooks, Mo",House,R,AL05,"$25,000 ",$0 ,"$25,000 ","$5,000 ","$17,000 ","$3,000 ",Nay
"LaHood, Darin",House,R,IL18,"$24,500 ",$0 ,"$24,500 ","$6,000 ","$16,500 ","$2,000 ",Yea
"Ernst, Joni",Senate,R,IAS2,"$24,000 ",$0 ,"$24,000 ","$11,000 ","$8,000 ","$5,000 ",Yea
"Bost, Mike",House,R,IL12,"$23,750 ",$0 ,"$23,750 ","$8,500 ","$15,250 ",$0 ,Yea
"Carter, Buddy",House,R,GA01,"$23,750 ",$0 ,"$23,750 ","$6,500 ","$11,250 ","$6,000 ",Yea
"Love, Mia",House,R,UT04,"$23,725 ",$0 ,"$23,725 ","$16,850 ","$4,025 ","$2,850 ",Yea
"Coleman, Bonnie",House,D,NJ12,"$23,500 ","$23,500 ",$0 ,"$4,750 ","$6,250 ","$12,500 ",Nay
"Sasse, Ben",Senate,R,NES2,"$23,200 ",$0 ,"$23,200 ","$9,000 ","$8,200 ","$6,000 ",Yea
"Bonamici, Suzanne",House,D,OR01,"$23,001 ","$23,001 ",$0 ,"$10,500 ","$5,501 ","$7,000 ",Nay
"Hartzler, Vicky",House,R,MO04,"$23,000 ",$0 ,"$23,000 ","$1,000 ","$16,000 ","$6,000 ",Yea
"Moolenaar, John",House,R,MI04,"$23,000 ",$0 ,"$23,000 ","$4,000 ","$15,500 ","$3,500 ",Yea
"Graves, Garret",House,R,LA06,"$22,500 ",$0 ,"$22,500 ","$5,500 ","$10,750 ","$6,250 ",Nay
"Williams, Roger",House,R,TX25,"$22,500 ",$0 ,"$22,500 ","$4,000 ","$11,500 ","$7,000 ",Yea
"Rouzer, David",House,R,NC07,"$22,300 ",$0 ,"$22,300 ","$7,000 ","$7,300 ","$8,000 ",Yea
"Lawrence, Brenda",House,D,MI14,"$21,900 ","$21,900 ",$0 ,"$8,400 ","$7,000 ","$6,500 ",Nay
"Cook, Paul",House,R,CA08,"$21,800 ",$0 ,"$21,800 ",$0 ,"$18,800 ","$3,000 ",Yea
"McGovern, James P",House,D,MA02,"$21,250 ","$21,250 ",$0 ,"$3,000 ","$4,000 ","$14,250 ",Nay
"Adams, Alma",House,D,NC12,"$21,000 ","$21,000 ",$0 ,"$5,000 ","$10,000 ","$6,000 ",Nay
"Harris, Andy",House,R,MD01,"$21,000 ",$0 ,"$21,000 ","$7,000 ","$7,000 ","$7,000 ",Yea
"Schweikert, David",House,R,AZ06,"$21,000 ",$0 ,"$21,000 ","$2,000 ","$14,000 ","$5,000 ",Yea
"Buck, Kenneth R",House,R,CO04,"$20,650 ",$0 ,"$20,650 ","$8,000 ","$7,000 ","$5,650 ",Yea
"Hill, French",House,R,AR02,"$20,500 ",$0 ,"$20,500 ","$4,500 ","$15,000 ","$1,000 ",Not Voting
"Pittenger, Robert",House,R,NC09,"$20,500 ",$0 ,"$20,500 ","$9,500 ","$8,000 ","$3,000 ",Not Voting
"Marshall, Roger",House,R,KS01,"$20,250 ",$0 ,"$20,250 ","$9,000 ","$9,250 ","$2,000 ",Yea
"Scott, Austin",House,R,GA08,"$20,000 ",$0 ,"$20,000 ","$7,000 ","$11,000 ","$2,000 ",Yea
"Stewart, Chris",House,R,UT02,"$20,000 ",$0 ,"$20,000 ","$5,000 ","$7,000 ","$8,000 ",Nay
"Comer, James",House,R,KY01,"$19,750 ",$0 ,"$19,750 ","$5,000 ","$11,250 ","$3,500 ",Yea
"Clark, Katherine",House,D,MA05,"$19,500 ","$19,500 ",$0 ,"$6,000 ","$7,500 ","$6,000 ",Nay
"Speier, Jackie",House,D,CA14,"$19,500 ","$19,500 ",$0 ,"$7,500 ","$8,000 ","$4,000 ",Nay
"Bishop, Rob",House,R,UT01,"$19,400 ",$0 ,"$19,400 ","$2,900 ","$10,500 ","$6,000 ",Yea
"Walz, Tim",House,D,MN01,"$19,250 ","$19,250 ",$0 ,"$11,250 ","$5,000 ","$3,000 ",Nay
"King, Angus",Senate,I,MES1,"$19,000 ",$0 ,$0 ,"$12,000 ","$2,000 ","$5,000 ",Nay
"Palazzo, Steven",House,R,MS04,"$19,000 ",$0 ,"$19,000 ","$8,000 ","$9,000 ","$2,000 ",Yea
"Polis, Jared",House,D,CO02,"$18,600 ","$18,600 ",$0 ,"$10,000 ","$4,000 ","$4,600 ",Nay
"Grisham, Michelle Lujan",House,D,NM01,"$18,500 ","$18,500 ",$0 ,"$6,000 ","$6,000 ","$6,500 ",Nay
"Jones, Walter B Jr",House,R,NC03,"$18,500 ",$0 ,"$18,500 ",$0 ,"$13,000 ","$5,500 ",Nay
"Fitzpatrick, Brian",House,R,PA08,"$17,700 ",$0 ,"$17,700 ","$13,700 ","$4,000 ",$0 ,Yea
"Grothman, Glenn S",House,R,WI06,"$17,700 ",$0 ,"$17,700 ","$5,000 ","$11,700 ","$1,000 ",Yea
"Kennedy, John",Senate,R,LAS2,"$17,000 ",$0 ,"$17,000 ","$6,500 ","$5,500 ","$5,000 ",Yea
"Donovan, Dan",House,R,NY11,"$17,000 ",$0 ,"$17,000 ","$6,000 ","$8,000 ","$3,000 ",Yea
"LaMalfa, Doug",House,R,CA01,"$17,000 ",$0 ,"$17,000 ","$8,500 ","$6,500 ","$2,000 ",Yea
"Mooney, Alex",House,R,WV02,"$16,750 ",$0 ,"$16,750 ","$5,750 ","$2,000 ","$9,000 ",Yea
"Moulton, Seth",House,D,MA06,"$16,750 ","$16,750 ",$0 ,"$8,750 ","$3,000 ","$5,000 ",Nay
"Hanabusa, Colleen",House,D,HI01,"$16,600 ","$16,600 ",$0 ,"$7,100 ","$8,500 ","$1,000 ",Nay
"Cheney, Liz",House,R,WY01,"$16,500 ",$0 ,"$16,500 ","$12,000 ","$3,000 ","$1,500 ",Yea
"Jenkins, Evan",House,R,WV03,"$16,500 ",$0 ,"$16,500 ","$4,500 ","$8,000 ","$4,000 ",Yea
"Sanford, Mark",House,R,SC01,"$16,500 ",$0 ,"$16,500 ","$9,500 ","$3,000 ","$4,000 ",Nay
"Massie, Thomas",House,R,KY04,"$16,000 ",$0 ,"$16,000 ","$4,000 ","$9,500 ","$2,500 ",Yea
"Tenney, Claudia",House,R,NY22,"$15,900 ",$0 ,"$15,900 ","$11,900 ","$3,000 ","$1,000 ",Yea
"Hollingsworth, Trey",House,R,IN09,"$15,800 ",$0 ,"$15,800 ","$7,500 ","$6,300 ","$2,000 ",Yea
"McCollum, Betty",House,D,MN04,"$15,750 ","$15,750 ",$0 ,"$5,250 ","$10,500 ",$0 ,Nay
"Desjarlais, Scott",House,R,TN04,"$15,700 ",$0 ,"$15,700 ","$2,500 ","$11,200 ","$2,000 ",Yea
"Correa, Lou",House,D,CA46,"$15,500 ","$15,500 ",$0 ,"$4,500 ","$9,000 ","$2,000 ",Nay
"Rochester, Lisa Blunt",House,D,DE01,"$15,375 ","$15,375 ",$0 ,"$8,000 ","$4,025 ","$3,350 ",Nay
"Brown, Anthony",House,D,MD04,"$15,350 ","$15,350 ",$0 ,"$11,350 ","$1,000 ","$3,000 ",Nay
"Tsongas, Niki",House,D,MA03,"$15,257 ","$15,257 ",$0 ,"$6,500 ","$5,757 ","$3,000 ",Nay
"Roe, Phil",House,R,TN01,"$15,000 ",$0 ,"$15,000 ",$0 ,"$2,000 ","$13,000 ",Yea
"Trott, Dave",House,R,MI11,"$14,505 ",$0 ,"$14,505 ","$6,500 ","$3,000 ","$5,005 ",Yea
"Loudermilk, Barry",House,R,GA11,"$14,400 ",$0 ,"$14,400 ","$6,500 ","$4,900 ","$3,000 ",Yea
"Kihuen, Ruben",House,D,NV04,"$14,337 ","$14,337 ",$0 ,"$5,049 ","$6,760 ","$2,528 ",Nay
"Yoho, Ted",House,R,FL03,"$14,000 ",$0 ,"$14,000 ","$2,000 ","$11,000 ","$1,000 ",Yea
"Mast, Brian",House,R,FL18,"$13,500 ",$0 ,"$13,500 ","$7,500 ","$5,000 ","$1,000 ",Yea
"Pocan, Mark",House,D,WI02,"$13,500 ","$13,500 ",$0 ,"$1,000 ","$7,500 ","$5,000 ",Nay
"Smucker, Lloyd",House,R,PA16,"$13,500 ",$0 ,"$13,500 ","$7,500 ","$4,000 ","$2,000 ",Yea
"Weber, Randy",House,R,TX14,"$13,500 ",$0 ,"$13,500 ","$6,000 ","$4,500 ","$3,000 ",Yea
"Huffman, Jared",House,D,CA02,"$13,250 ","$13,250 ",$0 ,"$6,250 ","$4,000 ","$3,000 ",Nay
"Babin, Brian",House,R,TX36,"$13,000 ",$0 ,"$13,000 ","$3,000 ","$3,000 ","$7,000 ",Yea
"Meadows, Mark R",House,R,NC11,"$13,000 ",$0 ,"$13,000 ","$4,000 ","$7,000 ","$2,000 ",Yea
"Mitchell, Paul",House,R,MI10,"$13,000 ",$0 ,"$13,000 ","$6,000 ","$6,000 ","$1,000 ",Yea
"Gallagher, Mike",House,R,WI08,"$12,862 ",$0 ,"$12,862 ","$2,500 ","$6,050 ","$4,312 ",Yea
